NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지,대지위치_표제부,도로명대지위치_표제부,매칭단계
732,서울특별시 서초구 서초동,집합,1337,사임당로,일반상업,업무,25m미만,55.25, ,"72,270",7.0,법인,개인,202512,29,,2007.0,-,중개거래,서울 서초구,,,매칭실패
733,서울특별시 송파구 문정동,집합,150-20,,제3종일반주거,제1종근린생활,25m미만,20.69, ,"56,500",,개인,개인,202512,29,,1988.0,-,중개거래,서울 강남구,,,매칭실패
734,서울특별시 서초구 서초동,집합,1337,사임당로,일반상업,업무,25m미만,66.44, ,"89,790",7.0,법인,개인,202512,29,,2007.0,-,중개거래,서울 서초구,,,매칭실패
735,서울특별시 영등포구 당산동2가,집합,47515,영등포로,준공업,제2종근린생활,25m이상,42.75, ,"23,500",,법인,개인,202512,29,,1987.0,-,중개거래,서울 영등포구,,,매칭실패
736,서울특별시 서초구 반포동,집합,20-45,잠원로,제3종일반주거,업무,25m이상,23.62, ,"38,700",2.0,개인,개인,202512,29,,2009.0,-,직거래,-,,,매칭실패
737,서울특별시 송파구 가락동,집합,35065,송파대로32길,제3종일반주거,판매,12m미만,10.89, ,"9,000",,개인,개인,202512,29,,1986.0,-,직거래,-,,,매칭실패
738,서울특별시 서초구 서초동,집합,1337,사임당로,일반상업,업무,25m미만,42.35, ,"56,940",7.0,법인,개인,202512,29,,2007.0,-,중개거래,서울 서초구,,,매칭실패
739,서울특별시 송파구 문정동,집합,634,충민로,유통상업,판매,25m이상,11.74, ,"4,900",,개인,법인,202512,29,,2008.0,-,중개거래,서울 송파구,,,매칭실패
740,서울특별시 송파구 문정동,집합,652-3,송파대로,일반상업,제2종근린생활,25m이상,36.91, ,"31,268",1.0,개인,법인,202512,29,,2022.0,-,중개거래,서울 송파구,,,매칭실패
741,서울특별시 중구 필동1가,집합,52232,충무로,일반상업,숙박,25m이상,16.44, ,"29,800",,개인,개인,202512,28,,2023.0,-,중개거래,서울 종로구,,,매칭실패
742,서울특별시 동대문구 제기동,집합,892-71,왕산로,일반상업,판매,25m이상,6.6, ,"6,000",,법인,개인,202512,28,,1976.0,-,직거래,-,,,매칭실패
743,서울특별시 동대문구 제기동,집합,892-71,왕산로,일반상업,판매,25m이상,6.6, ,"6,000",,법인,개인,202512,28,,1976.0,-,직거래,-,,,매칭실패
744,서울특별시 강남구 개포동,집합,46094,개포로,일반상업,업무,25m이상,32.44, ,"20,000",6.0,개인,개인,202512,28,,1997.0,-,중개거래,서울 강남구,,,매칭실패
745,서울특별시 강남구 개포동,집합,46094,개포로,일반상업,업무,25m이상,32.44, ,"23,000",9.0,개인,개인,202512,28,,1997.0,-,중개거래,서울 강남구,,,매칭실패
746,서울특별시 강남구 개포동,집합,46094,개포로,일반상업,업무,25m이상,32.44, ,"20,000",15.0,개인,개인,202512,28,,1997.0,-,중개거래,서울 강남구,,,매칭실패
747,서울특별시 용산구 후암동,집합,51533,후암로34길,제2종일반주거,제2종근린생활,8m미만,40.48, ,"37,000",2.0,개인,개인,202512,27,,2009.0,-,중개거래,서울 용산구,,,매칭실패
748,서울특별시 마포구 대흥동,집합,12-33,신촌로,일반상업,업무,25m이상,32.64, ,"14,500",9.0,법인,개인,202512,27,,2000.0,-,중개거래,서울 서대문구,,,매칭실패
749,서울특별시 금천구 시흥동,집합,984,시흥대로,준공업,제2종근린생활,25m이상,22.86, ,"20,200",3.0,개인,개인,202512,27,,1987.0,-,중개거래,서울 금천구,,,매칭실패
750,서울특별시 중구 신당동,일반,1**,퇴계로86길,제3종일반주거,제2종근린생활,12m미만,24.14,35.9,"41,872",,개인,개인,202512,27,지분,1959.0,-,직거래,-,,,매칭실패
751,서울특별시 동작구 신대방동,집합,395-67,보라매로5길,일반상업,업무,25m이상,109.91, ,"56,068",4.0,법인,법인,202512,27,,1996.0,-,중개거래,서울 동작구,,,매칭실패
752,서울특별시 동작구 신대방동,집합,서울특별시 강북구 미아동 734-200번지,서울특별시 강북구 삼양로38다길 9 (미아동),일반상업,업무,25m이상,154.74, ,"78,932",4.0,법인,법인,202512,27,,1996.0,-,중개거래,서울 동작구,서울특별시 강북구 미아동 734-200번지,서울특별시 강북구 삼양로38다길 9 (미아동),2단계: 건축년도+연면적
753,서울특별시 종로구 적선동,집합,122-1,새문안로5가길,일반상업,판매,12m미만,146.58, ,"73,000",,개인,개인,202512,27,,,-,중개거래,서울 종로구,,,매칭실패
754,서울특별시 송파구 오금동,집합,2,위례성대로,제3종일반주거,교육연구,25m이상,42.86, ,"39,500",2.0,개인,개인,202512,27,,1988.0,-,중개거래,서울 송파구,,,매칭실패
755,서울특별시 송파구 잠실동,집합,46195,올림픽로,제3종일반주거,판매,25m이상,24.7, ,"58,000",,개인,개인,202512,27,,2008.0,-,중개거래,서울 송파구,,,매칭실패
756,서울특별시 영등포구 여의도동,집합,50,63로,제3종일반주거,제1종근린생활,25m이상,30.32, ,"41,300",,개인,개인,202512,26,지분,,-,중개거래,서울 영등포구,,,매칭실패
757,서울특별시 서초구 방배동,집합,982-2,방배로,제2종일반주거,업무,25m이상,19.14, ,"32,000",,개인,개인,202512,26,,1980.0,-,중개거래,서울 서초구,,,매칭실패
758,서울특별시 동작구 신대방동,집합,349-7,,제3종일반주거,제1종근린생활,25m이상,186.78, ,"140,839",,법인,개인,202512,26,지분,,-,직거래,-,,,매칭실패
759,서울특별시 서초구 반포동,일반,서울특별시 용산구 한남동 11-432번지,서울특별시 용산구 유엔빌리지3길 54-14 (한남동),제2종일반주거,제2종근린생활,8m미만,259.7,467.4,"1,055,000",,법인,법인,202512,26,,1981.0,-,중개거래,서울 서초구,서울특별시 용산구 한남동 11-432번지,서울특별시 용산구 유엔빌리지3길 54-14 (한남동),3단계: 오차범위±10%
760,서울특별시 관악구 신림동,일반,서울특별시 관악구 신림동 521-1번지,서울특별시 관악구 조원로 96 (신림동),제2종일반주거,제1종근린생활,25m미만,928.04,727.6,"772,074",,법인,개인,202512,26,,1988.0,-,중개거래,서울 서초구,서울특별시 관악구 신림동 521-1번지,서울특별시 관악구 조원로 96 (신림동),1단계: 정확매칭
761,서울특별시 송파구 신천동,집합,7,올림픽로35길,제1종일반주거,제1종근린생활,25m이상,103.53, ,"341,000",1.0,개인,개인,202512,26,,1979.0,20251229,중개거래,서울 송파구,,,매칭실패
762,서울특별시 송파구 신천동,집합,7,올림픽로35길,제1종일반주거,제1종근린생활,25m이상,103.53, ,"341,000",1.0,개인,개인,202512,26,,1979.0,-,중개거래,서울 송파구,,,매칭실패
763,서울특별시 구로구 구로동,집합,1258,경인로53길,준공업,판매,25m이상,18.7, ,"13,000",,개인,개인,202512,26,,,-,중개거래,"서울 구로구, 서울 도봉구",,,매칭실패
764,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,제1종근린생활,25m이상,4.96, ,"3,200",20.0,법인,개인,202512,26,,2005.0,-,중개거래,서울 영등포구,,,매칭실패
765,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"2,500",,개인,개인,202512,26,,2005.0,-,직거래,-,,,매칭실패
766,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,제1종근린생활,25m이상,6.14, ,"7,500",,법인,개인,202512,26,,2005.0,-,직거래,-,,,매칭실패
767,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"2,500",,개인,개인,202512,26,,2005.0,-,직거래,-,,,매칭실패
768,서울특별시 영등포구 영등포동3가,집합,46278,영중로,일반상업,판매,25m이상,4.96, ,"2,500",,개인,개인,202512,26,,2005.0,-,직거래,-,,,매칭실패
